"","germplasm","predicted.value_grain_yield","predicted.value_test_weight","predicted.value_heading_time","predicted.value_plant_height","predicted.value_maturity","std.error_grain_yield","std.error_test_weight","std.error_heading_time","std.error_plant_height","std.error_maturity"
"113","IL2021-16415",85.2192964247718,58.1518381576287,126.976476384678,35.5178979487965,156.93096306577,5.03328788687028,0.761507337433846,3.75510658318239,1.74346763310847,3.3557353162673
"114","IL2021-15254",85.2150349451519,58.543164425548,126.340379282334,37.1888835081594,156.436693403472,5.03085198662265,0.761857086818227,3.75516958602277,1.7368706028077,3.35295239897847
"115","OH18-65-54",85.2041298219069,57.9146851211081,127.781640419001,33.8763747228374,160.887497947873,4.87596678436327,0.738944139665618,3.7394303198888,1.59376161730734,3.27131621882748
"116","21PU-0296",85.1723371320757,54.1438165899448,128.411693860309,33.6113734474032,160.512227466937,4.94109785112134,0.746753094535251,3.74486584602318,1.64262543818618,3.26927343373073
"117","21PU-0297",85.1512348503794,53.8881862097201,128.005310153041,35.0731646130969,159.84538005339,4.94340208282751,0.746765815231483,3.7453562957478,1.64831192432673,3.26959541058576
"118","X16-1021-13-13-3-5",85.145906826677,55.5805169121363,129.609237459518,36.0157492288398,160.316651473534,4.94515972427551,0.746908820619642,3.7482727981262,1.64831670480834,3.27081587674877
"119","2431",85.1435914874211,53.4933873555557,128.573894075743,34.6939754759159,159.68661347241,5.04413643807396,0.763051980372897,3.75633176111861,1.75194771035817,3.35795299525237
"120","IL2021-18451",85.1241506516771,56.0533463482102,127.073145991363,35.1968772938137,159.382822068371,5.03154364360966,0.760464296200133,3.75555970280286,1.74663968875746,3.35471547154061
"121","MI20R0210",85.1052467735776,55.4008516329311,130.151825315228,32.148996320454,161.249836802735,4.94151045903985,0.747480799663928,3.74643071460403,1.64408666537248,3.27082461691529
"122","2405",85.0766040362326,54.6125811298203,129.610074545867,39.295416020932,157.871718942811,5.05618486167979,0.76223689099246,3.75670455066267,1.75707318007031,3.36154789359057
"123","2020-5376",85.0500786764579,56.6156455092591,125.217875169769,35.08151722912,156.812340094691,4.91023869847868,0.742686553039803,3.74126457045343,1.60869763502817,3.27072013815506
"124","OH13-88-61",85.0297030277508,56.6700185249843,127.693569145304,36.5319215657132,156.98621916522,4.9092207626719,0.743642609440272,3.74054035831892,1.60817590971398,3.36898819025505
"125","2209",85.026414938494,56.03029657987,129.237549559296,35.0394624925791,158.177418289681,5.02543471361296,0.757036297723565,3.74240992314715,1.62700944146198,3.59657211465349
"126","OH20*44-72",85.0225019515261,58.2916800259341,128.113324164005,37.6494791033508,160.731080292531,4.90096580737423,0.741779627908977,3.74091159300916,1.60395792955971,3.2712218405405
"127","2406",85.0183880118655,53.4748003360246,128.881795038423,32.7374986100374,160.027999859006,5.03753489817675,0.761080377121919,3.75469177379798,1.74555571058194,3.35598134162925
"128","B722",84.9185224089872,56.3967040469335,128.715659157074,35.7843736057286,159.555299349741,5.08150944846204,0.764021496567371,3.75572310642622,1.74699753673784,3.36369339299833
"129","OH21-2-32",84.9001973394391,55.7824686702946,127.634452922561,33.2637920397936,159.875595462913,5.01478662878997,0.760679148506681,3.75590770758391,1.74693499958219,3.36010385716185
"130","2436",84.8852628080875,56.5764731634069,128.080388994068,34.3929048167033,160.595120452679,5.05844071576751,0.761968392799478,3.75666240883345,1.77187896757125,3.36765817873132
"131","MI22R033",84.8419715712587,56.7168821034193,127.078355417475,37.1737777460539,159.198126459258,4.95015870478918,0.746714183418745,3.74513640545976,1.64861133822967,3.27095884080972
"132","OH19-71-5",84.834405330074,57.0816272041887,127.79509433549,36.8973915400428,157.919389548594,5.00890299224835,0.755136911173617,3.74195879791329,1.61960870010432,3.58300126111132
"133","IL2021-26834",84.8290393978961,56.6392438049353,127.25656560024,35.3426100387644,158.364278751118,5.04325475073157,0.761578236825941,3.75741667747695,1.75748523509781,3.36149544500373
"134","X17-1085-17-11-1-3",84.8275054855374,56.0078907046525,127.154829250716,36.3745883713552,160.464544530644,5.04240103351601,0.765216799522838,3.75453117623288,1.73627390337932,3.35220490649559
"135","2437",84.8136254648344,55.8998187650325,126.781365125723,31.5540376621755,160.113940010096,5.04016231522816,0.761133834421648,3.75635917498896,1.74729017198878,3.36079077052371
